ISO_country_code,GNI_Per_Capita_PPP,Maternal_Death_Risk,Life_Expectancy,Mobile_Subscriptions_Per_1000,Infant_Mortality_per_1000,School_Enrollment_Primary_Gross,School_Enrollment_Primary_Gross_Female,School_Enrollment_Primary_Gross_Male,School_Enrollment_Secondary_Gross,School_Enrollment_Secondary_Gross_Female,School_Enrollment_Secondary_Gross_Male,School_Enrollment_Tertiary_Gross,School_Enrollment_Tertiary_Gross_Female,School_Enrollment_Tertiary_Gross_Male
MIC,9532.391551,0.458471733,7.64872862,96.17814516,31.4,14.67763,15.637589,14.32356,77.63748932,77.8225428,77.46646881,32.3698862,34.1134872,3.8169979
NAC,51655.92383,0.24823818,79.645113,17.379985,5.585846226,99.61546326,99.37332916,99.84767151,98.6585817,99.5894165,97.8577667,84.3231812,97.5233236,71.3287561
INX,,,,,,,,,,,,,,
OED,37914.57366,0.26257425,8.18213145,113.464773,6.88747986,12.4886398,12.2592392,12.778476,13.943695,14.3177414,13.585837,7.29972,75.53352356,64.72781372
OSS,2215.2565,1.8588356,66.4152626,118.695485,41.3319239,16.755232,15.624588,17.856755,66.8928641,67.5534826,66.25714874,18.346313,21.29781914,15.6778829
PSS,,0.2637879,69.91698582,74.96495366,22.7327235,11.223259,19.6986923,11.7127914,,,,,,
PST,468.85536,0.17232418,8.5256986,117.8799995,4.33739389,12.19923,11.8117828,12.218334,16.3963623,16.582423,16.219841,75.5663241,82.87281799,68.6357843
PRE,331.568251,3.192689488,58.33568214,68.757126,6.36112639,98.233189,93.466396,12.88831,41.1237885,36.3888588,45.7145854,7.953849792,6.17359183,9.7991993
SST,19486.667,0.8788842,67.82194,114.761671,36.87353591,15.8426819,14.7314987,16.921663,69.6917572,7.893929,68.53658295,18.54361916,22.2194945,15.15913963
SAS,521.985899,0.52887655,68.11628683,75.1159615,43.3,19.774231,112.573776,15.9638138,64.79342651,64.4186793,65.1351132,2.8386421,19.9473294,21.659851
TSA,521.985899,0.52887655,68.11628683,75.1159615,43.28331,19.774231,112.573776,15.9638138,64.79342651,64.4186793,65.1351132,2.8386421,19.9473294,21.659851
SSF,3334.336473,2.868546689,58.53712295,7.8712126,57.93241173,98.426787,94.7694327,12.1118,42.742939,39.53974152,45.86878967,8.5934811,7.24276181,9.926989555
SSA,3332.478336,2.868546689,58.53575125,7.86234632,57.9,98.42648315,94.768929,12.11168,42.7471884,39.53725815,45.8667984,8.59366355,7.242589951,9.92751262
TSS,3334.336473,2.868546689,58.53712295,7.8712126,57.93241173,98.426787,94.7694327,12.1118,42.742939,39.53974152,45.86878967,8.5934811,7.24276181,9.926989555
UMC,,0.7818787,74.66928539,15.456741,15.3,15.4714813,14.26784,16.578182,94.22823334,95.68578339,92.888311,44.3352234,48.23619843,4.7127869
WLD,145.33484,0.574321331,71.4589825,96.8548351,32.6,14.14737,13.8493576,14.4257278,76.44637299,76.123914,76.8515713,34.98331833,36.9399933,33.17298126
AFG,,2.153191318,6.37446341,58.8454753,68.1,111.744133,91.75787354,13.6878815,55.65615845,39.674887,7.74721,8.662799835,3.6732914,13.2865696
ALB,1593.32,0.5287837,77.8346341,15.4699657,12.9,112.486649,111.1672592,113.6986237,96.4268643,92.6621643,1.258484,62.7684814,73.8269577,52.42961121
DZA,13134.6399,0.4367412,74.889756,18.438562,22,118.7494736,115.1333466,122.25686,,,,34.5938114,41.9318895,27.467342
ASM,,,,,,,,,,,,,,
AND,,,,82.64319489,2.1,,,,,,,,,
AGO,,3.231173547,52.2668785,63.479282,98.8,,,,,,,,,
ATG,18966.34573,,75.93763415,132.539476,6.1,97.1739899,93.3918884,1.9179611,12.318222,12.844737,11.836118,,,
ARG,18429.2599,0.13655156,76.1586976,146.4823886,11.5,19.9888916,19.7613831,11.28778,16.77797,11.36977,13.3639984,82.91738892,12.899437,63.5388298
ARM,832.971866,0.4483644,74.6757732,115.923212,13.2,,,,,,,44.2546815,48.49568939,4.5559921
ABW,,,75.4519756,135.658893,,117.318389,115.4296875,119.129131,,,,16.45423,23.4323959,1.1445532
AUS,42315.55695,0.1182861,82.3,131.235468,3.2,16.756989,15.7586899,16.3766937,137.5647888,133.6292725,141.254131,9.36533,16.38874,75.42462
AUT,44213.1729,0.5466816,81.492439,151.9112515,3,12.2489777,11.6983566,12.7756424,99.2964198,96.92626953,11.5699387,79.99864197,87.624315,72.798415
AZE,16514.366,0.6445172,7.76321951,11.953634,28.9,16.59897,15.492954,16.5559235,,,,23.1597391,24.75322914,21.6763762
BHS,2121.48126,0.156838153,75.23365854,82.2963586,1.2,,,,,,,,,
BHR,37115.2867,0.34418745,76.68326829,173.2739335,5.6,99.6823682,1.4559784,98.9391784,98.892448,99.32642365,98.481862,41.3863953,57.6572815,29.39659
BGD,3172.5625,0.45849571,71.6259244,8.353551,32.1,,,,,,,13.4479971,11.3874197,15.4341218
BRB,1464.52619,0.47929285,75.49641463,16.7781561,12.3,93.62728119,94.1668931,93.1171358,19.2475662,11.689769,17.8758926,,,
BLR,1731.9476,0.71716,72.9773171,122.511386,3.5,98.9662788,99.5712128,98.8814984,17.317993,16.989532,17.913831,88.8573278,11.9697495,76.45915222
BEL,41576.91845,0.12833732,81.2878488,114.2699575,3.4,14.8543167,14.922182,14.7894669,164.8117371,175.384932,154.679747,73.3188188,83.36136627,63.622272
BLZ,7372.771537,0.8164392,7.774392,5.712566,14.6,111.731865,18.95275,114.442232,79.8772583,81.76476,78.5349731,,,
BEN,1987.97114,2.4631557,59.5158537,81.7596565,65.7,125.56123,119.922674,131.139276,54.3636168,43.85776138,64.8131487,,,
BMU,,,8.7973177,9.886599,,87.47599792,86.616677,88.84227753,72.62242889,77.43331146,67.95947266,27.4597315,36.839856,19.789996
BTN,6862.578676,0.35133698,69.4712439,81.57982737,28.3,12.1316986,12.873822,11.41439,84.19769287,87.5632782,81.416582,,,
BOL,613.544398,0.68126297,68.344,96.33724828,31.7,97.35877228,95.84375,98.82227325,85.3796314,84.9471283,85.7989738,,,
BIH,1572.42862,0.1545922,76.4332439,91.2789529,5.4,,,,,,,,,
BWA,15566.75372,0.39652822,64.4292439,167.2975939,35.6,17.634932,15.81285,19.4278564,,,,25.3587914,27.8321927,22.274998
BRA,1576.56936,0.84683687,74.418785,138.951496,14.4,111.638733,18.9931335,113.371475,11.958972,15.7856674,98.31359863,49.27983856,56.71646881,41.9642166
VGB,,,,165.2685386,,97.58785248,,,97.73732758,,,,,
BRN,76314.8183,0.45816912,78.8958537,16.816799,8.5,17.44438,17.556166,17.33858,99.1162194,99.192163,99.134161,31.72533989,4.12485123,23.7888951
BGR,1617.45428,0.1672827,74.46585366,132.351139,9.7,99.79329,98.7499845,99.389757,1.8792877,99.441978,12.695581,7.78562927,78.98544312,63.214856
BFA,1485.885657,2.14895186,58.58846341,71.7259882,62.2,86.89685,85.9131622,88.6516937,3.33526993,28.22839928,32.37174988,,,
